模型,数据集,任务,版本,模式,Prompt模板,机器/来源,状态,test_examples,accuracy,hit_accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,multi_label_examples,multi_label_accuracy,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,multi_label_macro_precision,multi_label_macro_recall,multi_label_macro_f1,strict_precision,strict_recall,strict_f1,tolerant_precision,tolerant_recall,tolerant_f1,contract_hit,top_k_hit,avg_min_distance,parse_total,parse_ok,parseable_ratio,format_failure_count,format_failure_rate,empty_output_count,empty_output_rate,metrics_path,predictions_file
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_line,P0,direct,ablation_p0,C,completed,161,,,,,,,,,,,,,,,,,,0.06722689075630252,0.06741573033707865,0.06732117812061712,0.1400560224089636,0.1095505617977528,0.1229391923840747,0.1925465838509317,0.1739130434782609,63.26050420168067,161,0,0,161,1,1,0.006211180124223602,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_line,P1,prompt,ablation_p1,C,completed,161,,,,,,,,,,,,,,,,,,0.07038123167155426,0.06741573033707865,0.06886657101865137,0.1085043988269795,0.09550561797752809,0.1015908907373011,0.1614906832298137,0.1428571428571428,81.34310850439883,161,0,0,161,1,9,0.05590062111801242,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_line,P2,prompt,ablation_p2,C,completed,161,,,,,,,,,,,,,,,,,,0.07339449541284404,0.02247191011235955,0.03440860215053763,0.07339449541284404,0.02247191011235955,0.03440860215053763,0.04968944099378882,0.04347826086956522,77.08256880733946,161,32,0.1987577639751553,129,0.8012422360248447,99,0.6149068322981367,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_line,P3,prompt,ablation_p3,C,completed,161,,,,,,,,,,,,,,,,,,0.0547945205479452,0.02247191011235955,0.03187250996015936,0.08904109589041095,0.03370786516853932,0.04890282131661442,0.07453416149068323,0.06832298136645963,59.5,161,22,0.1366459627329193,139,0.8633540372670807,90,0.5590062111801242,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_type,P0,direct,ablation_p0,C,completed,161,0.15527950310559,0.15527950310559,0.15527950310559,0.1302083333333333,0.141643059490085,0.5394174845510723,0.3203404385469603,0.2612619132976539,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.2608695652173913,0.2596153846153846,0.1628571428571429,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_type,P1,prompt,ablation_p1,C,completed,161,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.1458333333333333,0.1586402266288952,0.5288998791905769,0.332327545642763,0.2706337975411777,26,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.1403508771929824,0.1927710843373494,0.2784090909090909,0.2916666666666667,0.2337962962962963,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_type,P2,prompt,ablation_p2,C,completed,161,0.1863354037267081,0.1863354037267081,0.1863354037267081,0.15625,0.169971671388102,0.5395282859078591,0.3085709580274797,0.2517823376236297,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.1228070175438596,0.1686746987951807,0.2727272727272727,0.2666666666666667,0.224537037037037,,,,,,,,,,161,9,0.05590062111801242,152,0.9440993788819876,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-32B-Instruct,原始3000条,vul_type,P3,prompt,ablation_p3,C,completed,161,0.1863354037267081,0.1863354037267081,0.1863354037267081,0.15625,0.169971671388102,0.5709778922655537,0.283002776209298,0.2334021111716686,26,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.1052631578947368,0.144578313253012,0.2102272727272727,0.2041666666666667,0.1703703703703704,,,,,,,,,,161,9,0.05590062111801242,152,0.9440993788819876,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_line,P0,direct,ablation_p0,,completed,164,,,,,,,,,,,,,,,,,,0.02824858757062147,0.07598784194528875,0.04118616144975288,0.0847457627118644,0.08206686930091185,0.08338480543545398,0.1524390243902439,0.07317073170731707,45.13672316384181,164,0,0,164,1,116,0.7073170731707317,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_line,P1,prompt,ablation_p1,,completed,164,,,,,,,,,,,,,,,,,,0.01039119804400978,0.1033434650455927,0.01888364343237989,0.03209046454767726,0.1246200607902736,0.05103825201396587,0.1951219512195122,0.07926829268292683,104.8664425427873,164,0,0,164,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_line,P2,prompt,ablation_p2,,completed,164,,,,,,,,,,,,,,,,,,0.06963788300835655,0.07598784194528875,0.07267441860465117,0.2061281337047354,0.1003039513677812,0.1349432210648468,0.1463414634146341,0.07926829268292683,31.86350974930362,164,0,0,164,1,94,0.573170731707317,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_line,P3,prompt,ablation_p3,,completed,164,,,,,,,,,,,,,,,,,,0.06220095693779904,0.0790273556231003,0.06961178045515395,0.1818181818181818,0.1063829787234043,0.1342281879194631,0.1524390243902439,0.08536585365853659,30.57416267942584,164,0,0,164,1,94,0.573170731707317,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P0,direct,ablation_p0,,completed,161,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.109375,0.1189801699716714,0.5562056737588652,0.2304606625258799,0.1617626917355307,26,0.1153846153846154,0.1153846153846154,0.1153846153846154,0.05263157894736842,0.07228915662650602,0.135,0.15,0.06018518518518519,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P1,prompt,ablation_p1,,completed,161,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1197916666666667,0.1303116147308782,0.4167504144218815,0.2406067664219838,0.1714215498877036,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.02717391304347826,0.125,0.04464285714285714,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P2,prompt,ablation_p2,,completed,161,0.1366459627329193,0.1366459627329193,0.1366459627329193,0.1145833333333333,0.1246458923512748,0.5186029411764705,0.2158502729154903,0.1355206245451876,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.04340277777777778,0.1625,0.06847826086956522,,,,,,,,,,161,2,0.0124223602484472,159,0.9875776397515528,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P3,prompt,ablation_p3,,completed,161,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1197916666666667,0.1303116147308782,0.5227933541017653,0.2393892339544513,0.1335698630342274,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.04340277777777778,0.1625,0.06847826086956522,,,,,,,,,,161,1,0.006211180124223602,160,0.9937888198757764,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P0,direct,ablation_p0,C,completed,161,,,,,,,,,,,,,,,,,,0.1032608695652174,0.05337078651685393,0.07037037037037036,0.1413043478260869,0.06179775280898876,0.08598917618761275,0.124223602484472,0.1180124223602484,87.05434782608695,161,0,0,161,1,4,0.02484472049689441,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P1,prompt,ablation_p1,C,completed,161,,,,,,,,,,,,,,,,,,0.1038251366120219,0.05337078651685393,0.0705009276437848,0.1475409836065574,0.06179775280898876,0.08710954685437748,0.124223602484472,0.1180124223602484,69.43715846994536,161,0,0,161,1,12,0.07453416149068323,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P2,prompt,ablation_p2,C,completed,161,,,,,,,,,,,,,,,,,,0.1475409836065574,0.05056179775280899,0.07531380753138074,0.180327868852459,0.06179775280898876,0.09205020920502091,0.124223602484472,0.124223602484472,41.97540983606557,161,4,0.02484472049689441,157,0.9751552795031055,66,0.4099378881987578,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P3,prompt,ablation_p3,C,completed,161,,,,,,,,,,,,,,,,,,0.1397058823529412,0.05337078651685393,0.07723577235772358,0.1617647058823529,0.06179775280898876,0.08943089430894309,0.124223602484472,0.124223602484472,38.77941176470588,161,3,0.01863354037267081,158,0.9813664596273292,66,0.4099378881987578,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P0,direct,ablation_p0,C,completed,161,0.1677018633540373,0.1677018633540373,0.1677018633540373,0.140625,0.1529745042492918,0.6523148148148148,0.3396180359495577,0.2862134142463577,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.2608695652173913,0.275,0.1866666666666667,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P1,prompt,ablation_p1,C,completed,161,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.1458333333333333,0.1586402266288952,0.5627422480620154,0.3341391398456616,0.2603163428497951,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.1228070175438596,0.1686746987951807,0.1521739130434783,0.25,0.1696428571428572,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P2,prompt,ablation_p2,C,completed,161,0.1677018633540373,0.1677018633540373,0.1677018633540373,0.140625,0.1529745042492918,0.6204573934837093,0.3033096884999059,0.2326505739088453,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.1228070175438596,0.1686746987951807,0.1521739130434783,0.25,0.1696428571428572,,,,,,,,,,161,7,0.04347826086956522,154,0.9565217391304348,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P3,prompt,ablation_p3,C,completed,161,0.1614906832298137,0.1614906832298137,0.1614906832298137,0.1354166666666667,0.1473087818696884,0.6129397654584222,0.2755093638245812,0.215241279864754,26,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.1052631578947368,0.144578313253012,0.1521739130434783,0.1875,0.1279761904761905,,,,,,,,,,161,8,0.04968944099378882,153,0.9503105590062112,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
